

Experiment 1: Crossover operator only

GENERATION 50 INDIVIDUALS 100 CROSSOVER PROPABLITY 1 MUTATION PROBABLITY 0
[2016-01-08 12:58:55,908] launcher  INFO       127.0.0.1:	3 + origin 
gen	nevals	avg    	std    	min    	max    
0  	100   	12.2512	1.18548	9.78686	15.0069 
1  	100   	11.3188	0.943838	8.61353	13.9867 
2  	100   	10.5299	0.918922	7.93428	12.8831 
3  	100   	9.76304	0.888132	8.09459	12.0195 
4  	100   	9.14259	0.690931	7.4068 	10.6152 
5  	100   	8.56211	0.553122	7.31313	9.76331 
6  	100   	8.10701	0.526343	6.9447 	9.52694 
7  	100   	7.72706	0.464201	6.77615	8.91153 
8  	100   	7.28974	0.402566	6.45534	8.53236 
9  	100   	6.96681	0.365947	6.28068	7.83357 
10 	100   	6.67691	0.253654	6.26949	7.38123 
11 	100   	6.47446	0.200398	5.89423	6.98623 
12 	100   	6.31101	0.16374 	5.83007	6.8335 
13 	100   	6.19588	0.141312	5.77049	6.53871 
14 	100   	6.07435	0.152759	5.43407	6.42153 
15 	100   	5.9476 	0.172988	5.31958	6.37217 
16 	100   	5.80375	0.205635	5.20429	6.14958 
17 	100   	5.61971	0.20182 	5.16404	5.9975 
18 	100   	5.43986	0.161321	5.09891	5.87049 
19 	100   	5.32007	0.111703	5.04617	5.58587 
20 	100   	5.22151	0.0873257	5.04617	5.43142 
21 	100   	5.15039	0.0808142	5.04617	5.42335 
22 	100   	5.08201	0.049486 	5.02257	5.2218 
23 	100   	5.04716	0.0133922	4.97619	5.13193 
24 	100   	5.03974	0.0196567	4.95571	5.06813 
25 	100   	5.02791	0.0290162	4.95571	5.09015 
26 	100   	4.9992 	0.0308936	4.95571	5.04717 
27 	100   	4.97933	0.022336 	4.93609	5.06813 
28 	100   	4.96674	0.00989649	4.93609	4.97827 
29 	100   	4.95828	0.00783743	4.93609	4.97619 
30 	100   	4.9539 	0.00517657	4.9336 	4.95799 
31 	100   	4.95121	0.00718692	4.9336 	4.95799 
32 	100   	4.94547	0.00895701	4.93315	4.95571 
33 	100   	4.9381 	0.00706086	4.93063	4.95571 
34 	100   	4.93359	0.00110487	4.93063	4.93609 
35 	100   	4.93304	0.00126354	4.93063	4.93609 
36 	100   	4.93228	0.00141642	4.93063	4.93609 
37 	100   	4.9311 	0.000951256	4.93063	4.93315 
38 	100   	4.93063	1.77636e-15	4.93063	4.93063 
39 	100   	4.93063	1.77636e-15	4.93063	4.93063 
40 	100   	4.93063	1.77636e-15	4.93063	4.93063 
41 	100   	4.93063	1.77636e-15	4.93063	4.93063 
42 	100   	4.93063	1.77636e-15	4.93063	4.93063 
43 	100   	4.93063	1.77636e-15	4.93063	4.93063 
44 	100   	4.93063	1.77636e-15	4.93063	4.93063 
45 	100   	4.93063	1.77636e-15	4.93063	4.93063 
46 	100   	4.93063	1.77636e-15	4.93063	4.93063 
47 	100   	4.93063	1.77636e-15	4.93063	4.93063 
48 	100   	4.93063	1.77636e-15	4.93063	4.93063 
49 	100   	4.93063	1.77636e-15	4.93063	4.93063 
50 	100   	4.93063	1.77636e-15	4.93063	4.93063 

GENERATION 50 INDIVIDUALS 800 CROSSOVER PROPABLITY 0.5 MUTATION PROBABLITY 0
0  	800   	12.126	1.13383	8.18947	16.4343
1  	414   	11.2106	0.883568	7.93056	15.2619
2  	386   	10.4775	0.72103 	7.93056	12.6874
3  	396   	9.87688	0.649291	7.42383	11.7143
